portale,percentuale,data
Comune di Crispiano,57.23189284305765,2023-12-13 16:01:14.164039
Comune di Massafra,57.65105183495416,2023-12-13 16:01:14.546239
Comune di Bitonto,56.40018554923449,2023-12-13 16:02:07.578395
Comune di Crispiano,57.23189284305765,2023-12-13 16:02:08.174537
Comune di Massafra,57.65105183495416,2023-12-13 16:02:08.583658
Comune di Bitonto,56.40018554923449,2023-12-13 16:04:31.268828
Comune di Crispiano,57.23189284305765,2023-12-13 16:04:31.890436
Comune di Massafra,57.65105183495416,2023-12-13 16:04:32.296465
Comune di Bitonto,56.40018554923449,2023-12-13 16:05:03.440641
Comune di Crispiano,57.23189284305765,2023-12-13 16:05:04.106866
Comune di Massafra,57.65105183495416,2023-12-13 16:05:04.549681
Comune di Bitonto,56.40018554923449,2023-12-13 16:07:11.171465
Comune di Crispiano,57.23189284305765,2023-12-13 16:07:11.802272
Comune di Massafra,57.65105183495416,2023-12-13 16:07:12.270404
Comune di Bitonto,56.40018554923449,2023-12-13 16:07:16.135594
Comune di Crispiano,57.23189284305765,2023-12-13 16:07:16.838865
Comune di Massafra,57.65105183495416,2023-12-13 16:07:17.271717
Comune di Bitonto,56.40018554923449,2023-12-13 16:07:32.367535
Comune di Crispiano,57.23189284305765,2023-12-13 16:07:33.151600
Comune di Massafra,57.65105183495416,2023-12-13 16:07:33.816668
Comune di Bitonto,56.40018554923449,2023-12-13 16:07:41.662368
Comune di Crispiano,57.23189284305765,2023-12-13 16:07:42.457430
Comune di Massafra,57.65105183495416,2023-12-13 16:07:43.061890
Comune di Bitonto,56.40018554923449,2023-12-13 16:07:49.883968
Comune di Crispiano,57.23189284305765,2023-12-13 16:07:50.497808
Comune di Massafra,57.65105183495416,2023-12-13 16:07:50.936978
Comune di Bitonto,56.40018554923449,2023-12-13 16:07:56.934684
Comune di Crispiano,57.23189284305765,2023-12-13 16:07:57.544216
Comune di Massafra,57.65105183495416,2023-12-13 16:07:58.247008
Comune di Bitonto,56.40018554923449,2023-12-13 16:10:20.571667
Comune di Crispiano,56.06509855742792,2023-12-13 16:10:21.210683
Comune di Massafra,57.65105183495416,2023-12-13 16:10:21.625592
Comune di Bitonto,56.40018554923449,2023-12-13 16:11:23.840723
Comune di Crispiano,56.06509855742792,2023-12-13 16:11:24.471018
Comune di Massafra,57.65105183495416,2023-12-13 16:11:24.902118
Comune di Bitonto,56.40018554923449,2023-12-13 16:13:28.482857
Comune di Crispiano,56.06509855742792,2023-12-13 16:13:29.084249
Comune di Massafra,57.65105183495416,2023-12-13 16:13:29.489618
Comune di Bitonto,56.40018554923449,2023-12-13 16:15:51.510526
Comune di Crispiano,56.06509855742792,2023-12-13 16:15:52.099860
Comune di Massafra,57.65105183495416,2023-12-13 16:15:52.512725
Comune di Bitonto,56.40018554923449,2023-12-13 16:16:24.968317
Comune di Crispiano,56.06509855742792,2023-12-13 16:16:25.587310
Comune di Massafra,57.65105183495416,2023-12-13 16:16:26.001771
Comune di Bitonto,56.40018554923449,2023-12-13 16:18:26.326340
Comune di Crispiano,56.06509855742792,2023-12-13 16:18:26.920986
Comune di Massafra,57.65105183495416,2023-12-13 16:18:27.366436
Comune di Bitonto,56.40018554923449,2023-12-13 16:18:47.180871
Comune di Crispiano,56.06509855742792,2023-12-13 16:18:47.775041
Comune di Massafra,57.65105183495416,2023-12-13 16:18:48.189111
Comune di Bitonto,56.40018554923449,2023-12-13 16:21:45.660483
Comune di Crispiano,56.06509855742792,2023-12-13 16:21:46.271911
Comune di Massafra,57.65105183495416,2023-12-13 16:21:46.704082
Comune di Bitonto,56.40018554923449,2023-12-13 16:22:13.527749
Comune di Crispiano,56.06509855742792,2023-12-13 16:22:14.114357
Comune di Massafra,57.65105183495416,2023-12-13 16:22:14.526799
Comune di Bitonto,56.40018554923449,2023-12-13 16:24:35.009563
Comune di Crispiano,56.06509855742792,2023-12-13 16:24:35.606275
Comune di Massafra,57.65105183495416,2023-12-13 16:24:36.020428
Comune di Bitonto,56.40018554923449,2023-12-13 16:26:22.847213
Comune di Crispiano,56.06509855742792,2023-12-13 16:26:23.492562
Comune di Massafra,57.65105183495416,2023-12-13 16:26:23.947864
Comune di Bitonto,56.40018554923449,2023-12-13 16:26:41.053390
Comune di Crispiano,56.06509855742792,2023-12-13 16:26:41.639741
Comune di Massafra,57.65105183495416,2023-12-13 16:26:42.060573
Comune di Bitonto,56.40018554923449,2023-12-13 16:28:07.204306
Comune di Crispiano,56.06509855742792,2023-12-13 16:28:07.808611
Comune di Massafra,57.65105183495416,2023-12-13 16:28:08.222902
